数据集,模型,缺失率,预测长度,mse,mae
ETTh2,TimeFilter,10,192,0.15656737983226776,0.2805118262767792
ETTh2,TimeFilter,10,336,0.17519070208072662,0.2977813184261322
ETTh2,TimeFilter,10,720,0.22190843522548676,0.3430159389972687
ETTh2,TimeFilter,20,96,0.1347959339618683,0.26635149121284485
ETTh2,TimeFilter,20,192,0.14984190464019775,0.28121674060821533
ETTh2,TimeFilter,20,336,0.16148990392684937,0.2928638458251953
ETTh2,TimeFilter,20,720,0.2126154899597168,0.34349822998046875
ETTh2,TimeFilter,30,96,0.14331617951393127,0.27635204792022705
ETTh2,TimeFilter,30,192,0.15481574833393097,0.286752313375473
ETTh2,TimeFilter,30,336,0.16944052278995514,0.30008551478385925
ETTh2,TimeFilter,30,720,0.22768354415893555,0.35323211550712585
ETTh2,TimeFilter,50,96,0.19119691848754883,0.313159704208374
ETTh2,TimeFilter,50,192,0.19924472272396088,0.3229597508907318
ETTh2,TimeFilter,50,336,0.2275480479001999,0.3431592285633087
ETTh2,TimeFilter,50,720,0.308305948972702,0.4018693268299103
ETTh2,TimeFilter,80,96,0.44001659750938416,0.45619943737983704
ETTh2,TimeFilter,80,192,0.5338424444198608,0.5135447382926941
ETTh2,TimeFilter,80,336,0.6378899216651917,0.5549441576004028
ETTh2,TimeFilter,80,720,0.8305060863494873,0.6446810960769653
ETTh2,v1,0,96,0.18252088129520416,0.28790637850761414
ETTh2,v1,0,96,0.18054701387882233,0.28714999556541443
ETTh2,v1,0,192,0.22059087455272675,0.32351312041282654
ETTh2,v1,0,192,0.22655116021633148,0.326084166765213
ETTh2,v1,0,336,0.2459176629781723,0.34372782707214355
ETTh2,v1,0,336,0.2502695620059967,0.34570685029029846
ETTh2,v1,0,720,0.31543752551078796,0.39431527256965637
ETTh2,v1,0,720,0.3175400197505951,0.39649373292922974
ETTh2,v1,5,96,0.15900559723377228,0.2784956991672516
ETTh2,v1,5,96,0.15645594894886017,0.274112343788147
ETTh2,v1,5,192,0.1814984679222107,0.30074918270111084
ETTh2,v1,5,192,0.18471115827560425,0.3018682301044464
ETTh2,v1,5,336,0.20839254558086395,0.3277474045753479
ETTh2,v1,5,336,0.2091236561536789,0.3280639052391052
ETTh2,v1,5,720,0.2621217668056488,0.3751697540283203
ETTh2,v1,5,720,0.26060110330581665,0.37085413932800293
ETTh2,v1,10,96,0.13184699416160583,0.2577994167804718
ETTh2,v1,10,96,0.13582633435726166,0.25584450364112854
ETTh2,v1,10,192,0.1563032865524292,0.2803393602371216
ETTh2,v1,10,192,0.15248481929302216,0.2776039242744446
ETTh2,v1,10,336,0.17726647853851318,0.30375567078590393
ETTh2,v1,10,336,0.1758270561695099,0.2981297969818115
ETTh2,v1,10,720,0.22758345305919647,0.3459644317626953
ETTh2,v1,10,720,0.23678040504455566,0.3569101393222809
ETTh2,v1,20,96,0.1236719936132431,0.25215286016464233
ETTh2,v1,20,96,0.12409438192844391,0.2525118887424469
ETTh2,v1,20,192,0.15421141684055328,0.28452974557876587
ETTh2,v1,20,192,0.14683090150356293,0.2787673771381378
ETTh2,v1,20,336,0.16346774995326996,0.29373112320899963
ETTh2,v1,20,336,0.16039492189884186,0.28921839594841003
ETTh2,v1,20,720,0.19890673458576202,0.3296807110309601
ETTh2,v1,20,720,0.2081773430109024,0.34089213609695435
ETTh2,v1,30,96,0.11569955199956894,0.24470087885856628
ETTh2,v1,30,96,0.12396202981472015,0.251493364572525
ETTh2,v1,30,192,0.1488403081893921,0.27895593643188477
ETTh2,v1,30,192,0.14839933812618256,0.27880725264549255
ETTh2,v1,30,336,0.17890018224716187,0.31099840998649597
ETTh2,v1,30,336,0.17350396513938904,0.3000381588935852
ETTh2,v1,30,720,0.24363231658935547,0.365608811378479
ETTh2,v1,30,720,0.2131471335887909,0.3422969579696655
ETTh2,v1,50,96,0.20061326026916504,0.30843645334243774
ETTh2,v1,50,96,0.18230052292346954,0.2975449562072754
ETTh2,v1,50,192,0.22801454365253448,0.3351427912712097
ETTh2,v1,50,192,0.19241933524608612,0.31440380215644836
ETTh2,v1,50,336,0.21267707645893097,0.32982349395751953
ETTh2,v1,50,336,0.25045204162597656,0.35138097405433655
ETTh2,v1,50,720,0.3383382558822632,0.41436731815338135
ETTh2,v1,50,720,0.3088039755821228,0.3985670208930969
ETTh2,v1,80,96,0.6093654632568359,0.5137848258018494
ETTh2,v1,80,96,0.7787723541259766,0.5435548424720764
ETTh2,v1,80,192,0.9440380930900574,0.6035721898078918
ETTh2,v1,80,192,0.6757922172546387,0.5565813779830933
ETTh2,v1,80,336,0.7800593376159668,0.570519745349884
ETTh2,v1,80,336,0.8368523716926575,0.6148467659950256
ETTh2,v1,80,720,0.9123991131782532,0.6463440656661987
ETTh2,v1,80,720,0.8993505239486694,0.6481066346168518
ETTm1,DUET,0,96,0.3832123577594757,0.4117763042449951
ETTm1,DUET,0,96,0.3832123577594757,0.4117763042449951
ETTm1,DUET,0,192,0.45670443773269653,0.4509611427783966
ETTm1,DUET,0,192,0.45670443773269653,0.4509611427783966
ETTm1,DUET,0,336,0.5166199803352356,0.4918352961540222
ETTm1,DUET,0,336,0.5166199803352356,0.4918352961540222
ETTm1,DUET,0,720,0.5926699638366699,0.5465978980064392
ETTm1,DUET,0,720,0.5926699638366699,0.5465978980064392
ETTm1,DUET,5,96,0.38759127259254456,0.42176708579063416
ETTm1,DUET,5,96,0.38759127259254456,0.42176708579063416
