2026-05-01 21:13:28,372 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:13:28,426 - INFO - >>>>>>>start training : with_residual_decomposition_v2_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:17:14,481 - INFO - Y_seasonal mean abs: 1.3253, output mean abs: 0.4611
2026-05-01 21:17:14,502 - INFO - Y_seasonal mean abs: 1.3257, output mean abs: 0.4735
2026-05-01 21:17:14,522 - INFO - Y_seasonal mean abs: 1.3227, output mean abs: 0.4704
2026-05-01 21:17:14,541 - INFO - Y_seasonal mean abs: 1.3231, output mean abs: 0.4767
2026-05-01 21:17:15,224 - INFO - Epoch: 4 cost time: 23.014486074447632
2026-05-01 21:17:36,436 - INFO - Y_seasonal mean abs: 1.3119, output mean abs: 0.4724
2026-05-01 21:17:36,561 - INFO - Y_seasonal mean abs: 1.3119, output mean abs: 0.4577
2026-05-01 21:17:36,594 - INFO - Y_seasonal mean abs: 1.3119, output mean abs: 0.4617
2026-05-01 21:17:36,603 - INFO - Y_seasonal mean abs: 1.3119, output mean abs: 0.4630
2026-05-01 21:17:36,614 - INFO - Y_seasonal mean abs: 1.3119, output mean abs: 0.4654
