2026-05-01 22:16:05,749 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 22:16:05,801 - INFO - >>>>>>>start training : 取消Y_seasonal_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 22:19:50,306 - INFO - Y_seasonal mean abs: 0.2785, output mean abs: 0.4847
2026-05-01 22:19:50,324 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4755
2026-05-01 22:19:50,344 - INFO - Y_seasonal mean abs: 0.2775, output mean abs: 0.4722
2026-05-01 22:19:50,364 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4607
2026-05-01 22:19:50,385 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4489
2026-05-01 22:19:50,405 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4648
2026-05-01 22:19:50,424 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4663
2026-05-01 22:19:50,445 - INFO - Y_seasonal mean abs: 0.2773, output mean abs: 0.4702
2026-05-01 22:19:50,465 - INFO - Y_seasonal mean abs: 0.2774, output mean abs: 0.4738
2026-05-01 22:19:50,483 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4748
2026-05-01 22:19:50,503 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4854
2026-05-01 22:19:50,522 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4974
2026-05-01 22:19:50,539 - INFO - Y_seasonal mean abs: 0.2776, output mean abs: 0.4838
2026-05-01 22:19:50,557 - INFO - Y_seasonal mean abs: 0.2787, output mean abs: 0.4935
2026-05-01 22:19:50,578 - INFO - Y_seasonal mean abs: 0.2785, output mean abs: 0.4948
2026-05-01 22:19:50,595 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4924
2026-05-01 22:19:50,612 - INFO - Y_seasonal mean abs: 0.2777, output mean abs: 0.4947
2026-05-01 22:19:50,633 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4719
2026-05-01 22:19:50,652 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4800
2026-05-01 22:19:50,672 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4608
2026-05-01 22:19:50,687 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4634
2026-05-01 22:19:50,707 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4576
2026-05-01 22:19:50,726 - INFO - Y_seasonal mean abs: 0.2775, output mean abs: 0.4567
2026-05-01 22:19:50,743 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4665
2026-05-01 22:19:50,761 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4653
2026-05-01 22:19:50,777 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4652
2026-05-01 22:19:50,795 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4793
2026-05-01 22:19:50,814 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4786
2026-05-01 22:19:50,833 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4873
2026-05-01 22:19:51,524 - INFO - Epoch: 4 cost time: 22.928772687911987
2026-05-01 22:20:12,663 - INFO - Y_seasonal mean abs: 0.2116, output mean abs: 0.4796
2026-05-01 22:20:12,856 - INFO - Y_seasonal mean abs: 0.2116, output mean abs: 0.4643
2026-05-01 22:20:12,960 - INFO - Y_seasonal mean abs: 0.2116, output mean abs: 0.4673
2026-05-01 22:20:12,977 - INFO - Y_seasonal mean abs: 0.2116, output mean abs: 0.4716
2026-05-01 22:20:12,987 - INFO - Y_seasonal mean abs: 0.2116, output mean abs: 0.4731
