2026-05-01 21:27:14,090 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:27:14,148 - INFO - >>>>>>>start training : 注意力只用周期且加tanh_96_96_TQNet_1_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:29:58,281 - INFO - Y_seasonal mean abs: 0.8307, output mean abs: 0.4853
2026-05-01 21:29:58,305 - INFO - Y_seasonal mean abs: 0.8320, output mean abs: 0.4858
2026-05-01 21:29:58,331 - INFO - Y_seasonal mean abs: 0.8336, output mean abs: 0.4846
2026-05-01 21:29:58,352 - INFO - Y_seasonal mean abs: 0.8332, output mean abs: 0.4786
2026-05-01 21:29:58,376 - INFO - Y_seasonal mean abs: 0.8334, output mean abs: 0.4766
2026-05-01 21:29:58,395 - INFO - Y_seasonal mean abs: 0.8343, output mean abs: 0.4818
2026-05-01 21:29:58,416 - INFO - Y_seasonal mean abs: 0.8337, output mean abs: 0.4720
2026-05-01 21:29:58,439 - INFO - Y_seasonal mean abs: 0.8348, output mean abs: 0.4793
2026-05-01 21:29:58,463 - INFO - Y_seasonal mean abs: 0.8344, output mean abs: 0.4724
2026-05-01 21:29:58,485 - INFO - Y_seasonal mean abs: 0.8360, output mean abs: 0.4661
2026-05-01 21:29:58,509 - INFO - Y_seasonal mean abs: 0.8350, output mean abs: 0.4683
2026-05-01 21:29:58,529 - INFO - Y_seasonal mean abs: 0.8361, output mean abs: 0.4688
2026-05-01 21:29:58,550 - INFO - Y_seasonal mean abs: 0.8372, output mean abs: 0.4587
2026-05-01 21:29:58,574 - INFO - Y_seasonal mean abs: 0.8360, output mean abs: 0.4712
2026-05-01 21:29:58,595 - INFO - Y_seasonal mean abs: 0.8374, output mean abs: 0.4645
2026-05-01 21:29:58,616 - INFO - Y_seasonal mean abs: 0.8358, output mean abs: 0.4756
2026-05-01 21:29:58,641 - INFO - Y_seasonal mean abs: 0.8378, output mean abs: 0.4755
2026-05-01 21:29:58,662 - INFO - Y_seasonal mean abs: 0.8374, output mean abs: 0.4898
2026-05-01 21:29:58,684 - INFO - Y_seasonal mean abs: 0.8375, output mean abs: 0.4799
2026-05-01 21:29:58,706 - INFO - Y_seasonal mean abs: 0.8399, output mean abs: 0.4799
2026-05-01 21:29:58,728 - INFO - Y_seasonal mean abs: 0.8415, output mean abs: 0.4779
2026-05-01 21:29:58,746 - INFO - Y_seasonal mean abs: 0.8398, output mean abs: 0.4935
2026-05-01 21:29:58,765 - INFO - Y_seasonal mean abs: 0.8398, output mean abs: 0.4817
2026-05-01 21:29:58,785 - INFO - Y_seasonal mean abs: 0.8416, output mean abs: 0.4836
2026-05-01 21:29:58,808 - INFO - Y_seasonal mean abs: 0.8423, output mean abs: 0.4848
2026-05-01 21:29:58,829 - INFO - Y_seasonal mean abs: 0.8436, output mean abs: 0.4739
2026-05-01 21:29:58,847 - INFO - Y_seasonal mean abs: 0.8436, output mean abs: 0.4666
2026-05-01 21:29:58,870 - INFO - Y_seasonal mean abs: 0.8456, output mean abs: 0.4672
2026-05-01 21:29:58,893 - INFO - Y_seasonal mean abs: 0.8440, output mean abs: 0.4682
2026-05-01 21:29:58,914 - INFO - Y_seasonal mean abs: 0.8455, output mean abs: 0.4641
2026-05-01 21:29:58,936 - INFO - Y_seasonal mean abs: 0.8465, output mean abs: 0.4681
2026-05-01 21:29:58,954 - INFO - Y_seasonal mean abs: 0.8474, output mean abs: 0.4581
2026-05-01 21:29:58,976 - INFO - Y_seasonal mean abs: 0.8465, output mean abs: 0.4675
2026-05-01 21:29:58,996 - INFO - Y_seasonal mean abs: 0.8478, output mean abs: 0.4745
2026-05-01 21:29:59,017 - INFO - Y_seasonal mean abs: 0.8474, output mean abs: 0.4780
2026-05-01 21:29:59,041 - INFO - Y_seasonal mean abs: 0.8467, output mean abs: 0.4720
2026-05-01 21:29:59,060 - INFO - Y_seasonal mean abs: 0.8475, output mean abs: 0.4785
